trace_id,task_id,seed,t_star,annotator_a,annotator_b,adjudicated_label,secondary_modes,propagated,notes,judge_label,model,episode_id,domain,sibling_href,reviewer,root_step,human_modes_ordered,primary_revised,secondary_revised,human_reasoning,human_confidence,judge_t_star,judge_modes_ordered,judge_reasoning,judge_confidence,is_propagated,propagated_from_step,evaluator_mismatch,taxonomy_issue,candidate_new_leaf,episode_html,provisional_primary,provisional_evidence,tier_used
chrome__bb5e4c0d-f964-439c-97b6-bdb9747de3f4,bb5e4c0d-f964-439c-97b6-bdb9747de3f4,0,,,,,,False,,,a3b,chrome/bb5e4c0d-f964-439c-97b6-bdb9747de3f4,chrome,7b/chrome__bb5e4c0d-f964-439c-97b6-bdb9747de3f4/episode.html,,,,,,,,,,,,False,,False,,,a3b/chrome__bb5e4c0d-f964-439c-97b6-bdb9747de3f4/episode.html,,,
chrome__bb5e4c0d-f964-439c-97b6-bdb9747de3f4,bb5e4c0d-f964-439c-97b6-bdb9747de3f4,0,,,,,,False,,,7b,chrome/bb5e4c0d-f964-439c-97b6-bdb9747de3f4,chrome,a3b/chrome__bb5e4c0d-f964-439c-97b6-bdb9747de3f4/episode.html,,,,,,,,,,,,False,,False,,,7b/chrome__bb5e4c0d-f964-439c-97b6-bdb9747de3f4/episode.html,,,
chrome__7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3,7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3,0,,,,,,False,,,a3b,chrome/7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3,chrome,7b/chrome__7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3/episode.html,,,,,,,,,,,,False,,False,,,a3b/chrome__7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3/episode.html,,,
chrome__7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3,7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3,0,,,,,,False,,,7b,chrome/7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3,chrome,a3b/chrome__7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3/episode.html,,,,,,,,,,,,False,,False,,,7b/chrome__7b6c7e24-c58a-49fc-a5bb-d57b80e5b4c3/episode.html,,,
chrome__06fe7178-4491-4589-810f-2e2bc9502122,06fe7178-4491-4589-810f-2e2bc9502122,0,5,,,,Goal Hallucination,False,,Reasoning Drift,a3b,chrome/06fe7178-4491-4589-810f-2e2bc9502122,chrome,7b/chrome__06fe7178-4491-4589-810f-2e2bc9502122/episode.html,,,,,,,,5,Reasoning Drift;Goal Hallucination,we have successfully accomplished this. The Lonely Planet tab is now active and displaying content. There's nothing more that needs to be done to restore the tab.,0.62,False,,False,,,a3b/chrome__06fe7178-4491-4589-810f-2e2bc9502122/episode.html,Reasoning Drift,we have successfully accomplished this. The Lonely Planet tab is now active and displaying content. There's nothing more that needs to be done to restore the tab.,judge
chrome__06fe7178-4491-4589-810f-2e2bc9502122,06fe7178-4491-4589-810f-2e2bc9502122,0,9,,,,,False,,Unresolved (missing task tag for controlled leaf),7b,chrome/06fe7178-4491-4589-810f-2e2bc9502122,chrome,a3b/chrome__06fe7178-4491-4589-810f-2e2bc9502122/episode.html,,,,,,,,9,Unresolved (missing task tag for controlled leaf),"The task instruction is 'and plan accordingly' which is extremely ambiguous/incomplete. The agent interpreted this as restoring a closed tab, but the evaluator rejected this. The agent terminated with success after restoring a TripAdvisor tab via browsing history rather than using the proper 'Reopen closed tab' shortcut/menu option directly.",0.0,False,,False,,,7b/chrome__06fe7178-4491-4589-810f-2e2bc9502122/episode.html,Unresolved (missing task tag for controlled leaf),"The task instruction is 'and plan accordingly' which is extremely ambiguous/incomplete. The agent interpreted this as restoring a closed tab, but the evaluator rejected this. The agent terminated with success after restoring a TripAdvisor tab via browsing history rather than using the proper 'Reopen closed tab' shortcut/menu option directly.",judge
chrome__e1e75309-3ddb-4d09-92ec-de869c928143,e1e75309-3ddb-4d09-92ec-de869c928143,0,9,,,,,False,,Reasoning Drift,a3b,chrome/e1e75309-3ddb-4d09-92ec-de869c928143,chrome,7b/chrome__e1e75309-3ddb-4d09-92ec-de869c928143/episode.html,,,,,,,,9,Reasoning Drift,"The dialog has closed, and we're now back at the original webpage about 'LLM Powered Autonomous Agents' in the Chrome browser. This indicates that the PDF has been successfully saved to the Desktop with the default filename as requested.",0.72,False,,False,,,a3b/chrome__e1e75309-3ddb-4d09-92ec-de869c928143/episode.html,Reasoning Drift,"The dialog has closed, and we're now back at the original webpage about 'LLM Powered Autonomous Agents' in the Chrome browser. This indicates that the PDF has been successfully saved to the Desktop with the default filename as requested.",judge
chrome__e1e75309-3ddb-4d09-92ec-de869c928143,e1e75309-3ddb-4d09-92ec-de869c928143,0,8,,,,,False,,Unresolved (missing task tag for controlled leaf),7b,chrome/e1e75309-3ddb-4d09-92ec-de869c928143,chrome,a3b/chrome__e1e75309-3ddb-4d09-92ec-de869c928143/episode.html,,,,,,,,8,Unresolved (missing task tag for controlled leaf),"The task instruction says 'now complete, and there's nothing more that needs to be done' and the agent terminates with DONE, but the evaluator message suggests this was incorrect — likely the task was not actually completed successfully (e.g., the save may not have gone through properly, or a required step was missed).",0.0,False,,False,,,7b/chrome__e1e75309-3ddb-4d09-92ec-de869c928143/episode.html,Unresolved (missing task tag for controlled leaf),"The task instruction says 'now complete, and there's nothing more that needs to be done' and the agent terminates with DONE, but the evaluator message suggests this was incorrect — likely the task was not actually completed successfully (e.g., the save may not have gone through properly, or a required step was missed).",judge
chrome__35253b65-1c19-4304-8aa4-6884b8218fc0,35253b65-1c19-4304-8aa4-6884b8218fc0,0,13,,,,Instruction Ambiguity Failure,False,,Reasoning Drift,a3b,chrome/35253b65-1c19-4304-8aa4-6884b8218fc0,chrome,7b/chrome__35253b65-1c19-4304-8aa4-6884b8218fc0/episode.html,,,,,,,,13,Reasoning Drift;Instruction Ambiguity Failure,The notification at the bottom confirms that the shortcut was successfully added... The shortcut has been added to the Google homepage and is visible among the other shortcuts.,0.55,False,,False,,,a3b/chrome__35253b65-1c19-4304-8aa4-6884b8218fc0/episode.html,Reasoning Drift,The notification at the bottom confirms that the shortcut was successfully added... The shortcut has been added to the Google homepage and is visible among the other shortcuts.,judge
chrome__35253b65-1c19-4304-8aa4-6884b8218fc0,35253b65-1c19-4304-8aa4-6884b8218fc0,0,15,,,,Reasoning Drift,False,,Action Looping (Repetition),7b,chrome/35253b65-1c19-4304-8aa4-6884b8218fc0,chrome,a3b/chrome__35253b65-1c19-4304-8aa4-6884b8218fc0/episode.html,,,,,,,,15,Action Looping (Repetition);Reasoning Drift,"Steps 12, 13, 14 all show repeated clicks with similar CoT about 'trying to create a desktop shortcut for the 2048 game website, but our approach has been inefficient...' and now at t* the agent clicks the Chrome icon again (step 15) despite Chrome already being open and showing the 2048 game page. The agent keeps clicking Chrome icon without meaningful state change.",0.88,False,,False,,,7b/chrome__35253b65-1c19-4304-8aa4-6884b8218fc0/episode.html,Action Looping (Repetition),"Steps 12, 13, 14 all show repeated clicks with similar CoT about 'trying to create a desktop shortcut for the 2048 game website, but our approach has been inefficient...' and now at t* the agent clicks the Chrome icon again (step 15) despite Chrome already being open and showing the 2048 game page. The agent keeps clicking Chrome icon without meaningful state change.",judge
